utc,steptype,heatread
29/08/2017 12:47,2,24
29/08/2017 12:47,2,24
29/08/2017 12:47,2,24.2
29/08/2017 12:47,2,24.2
29/08/2017 12:47,2,24.6
29/08/2017 12:47,2,24.6
29/08/2017 12:47,2,24.9
29/08/2017 12:47,2,24.9
29/08/2017 12:48,2,25.5
29/08/2017 12:48,2,25.5
29/08/2017 12:48,2,27.2
29/08/2017 12:48,2,27.2
29/08/2017 12:48,2,27.6
29/08/2017 12:48,2,27.6
29/08/2017 12:48,2,29.6
29/08/2017 12:48,2,29.6
29/08/2017 12:48,2,31.1
29/08/2017 12:48,2,31.1
29/08/2017 12:48,2,32.5
29/08/2017 12:48,2,32.5
29/08/2017 12:48,2,34.6
29/08/2017 12:48,2,34.6
29/08/2017 12:48,2,34.6
29/08/2017 12:48,2,34.6
29/08/2017 12:48,2,38.6
29/08/2017 12:48,2,38.6
29/08/2017 12:48,2,41
29/08/2017 12:48,2,41
29/08/2017 12:48,2,42.6
29/08/2017 12:48,2,42.6
29/08/2017 12:48,2,45.3
29/08/2017 12:48,2,45.3
29/08/2017 12:48,2,47.6
29/08/2017 12:48,2,47.6
29/08/2017 12:48,2,49.5
29/08/2017 12:48,2,49.5
29/08/2017 12:48,2,52.6
29/08/2017 12:48,2,52.6
29/08/2017 12:48,2,55.7
29/08/2017 12:48,2,55.7
29/08/2017 12:48,2,58.3
29/08/2017 12:48,2,58.3
29/08/2017 12:48,2,61
29/08/2017 12:48,2,61
29/08/2017 12:48,2,63.9
29/08/2017 12:48,2,63.9
29/08/2017 12:48,2,66.5
29/08/2017 12:48,2,66.5
29/08/2017 12:48,2,69.6
29/08/2017 12:48,2,69.6
29/08/2017 12:48,2,71.8
29/08/2017 12:48,2,71.8
29/08/2017 12:48,2,75.1
29/08/2017 12:48,2,75.1
29/08/2017 12:48,2,78
29/08/2017 12:48,2,78
29/08/2017 12:48,2,81
29/08/2017 12:48,2,81
29/08/2017 12:48,2,83.1
29/08/2017 12:48,2,83.1
29/08/2017 12:48,2,
29/08/2017 12:48,2,
29/08/2017 12:48,2,89.3
29/08/2017 12:48,2,89.3
29/08/2017 12:48,2,92.4
29/08/2017 12:48,2,92.4
29/08/2017 12:48,2,95.1
29/08/2017 12:48,2,95.1
29/08/2017 12:49,2,98.1
29/08/2017 12:49,2,98.1
29/08/2017 12:49,2,100.8
29/08/2017 12:49,2,100.8
29/08/2017 12:49,2,103.1
29/08/2017 12:49,2,103.1
29/08/2017 12:49,2,106.3
29/08/2017 12:49,2,106.3
29/08/2017 12:49,2,108.9
29/08/2017 12:49,2,108.9
29/08/2017 12:49,2,111.9
29/08/2017 12:49,2,111.9
29/08/2017 12:49,2,114.7
29/08/2017 12:49,2,114.7
29/08/2017 12:49,2,117.5
29/08/2017 12:49,2,117.5
29/08/2017 12:49,2,119.5
29/08/2017 12:49,2,119.5
29/08/2017 12:49,2,123
29/08/2017 12:49,2,123
29/08/2017 12:49,2,125.1
29/08/2017 12:49,2,125.1
29/08/2017 12:49,2,128.2
29/08/2017 12:49,2,128.2
29/08/2017 12:49,2,130.8
29/08/2017 12:49,2,130.8
29/08/2017 12:49,2,133.6
